epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6882.38,1.26331,1.11345,1.34248,0.41935,0.24113,0.22731,0.11459,1.94296,2.55846,2.00578,0.0011882,0.0011882,0.0011882
43,7195.67,1.25668,1.09242,1.30142,0.5801,0.47518,0.48167,0.23912,1.86105,1.78247,1.814,0.0011684,0.0011684,0.0011684
44,7507.39,1.26069,1.07326,1.31196,0.62884,0.56028,0.54896,0.28805,1.71015,1.57342,1.75282,0.0011486,0.0011486,0.0011486
45,7814.08,1.21473,1.07785,1.29668,0.73383,0.52794,0.59431,0.30168,1.69842,1.44592,1.76525,0.0011288,0.0011288,0.0011288
46,8117.26,1.20475,1.03857,1.29489,0.79372,0.5461,0.62819,0.32054,1.69125,1.45708,1.76281,0.001109,0.001109,0.001109
47,8424.02,1.20814,1.00834,1.27961,0.62324,0.60284,0.54727,0.30225,1.65476,1.38172,1.74988,0.0010892,0.0010892,0.0010892
48,8716.36,1.20619,1.02498,1.28381,0.75836,0.55319,0.60202,0.32974,1.54931,1.36411,1.68031,0.0010694,0.0010694,0.0010694
49,8997.36,1.16163,0.98722,1.25454,0.75997,0.51773,0.57481,0.29267,1.70356,1.52076,1.73372,0.0010496,0.0010496,0.0010496
50,9272.36,1.15181,0.96598,1.25029,0.58957,0.62411,0.57298,0.31187,1.67739,1.48709,1.79365,0.0010298,0.0010298,0.0010298
51,9542.1,1.15833,0.98769,1.25916,0.61616,0.53191,0.52647,0.28034,1.75428,1.59007,1.78554,0.00101,0.00101,0.00101
